今日(2023-06-09)数据库下修信息简报：
共有275支转债近日满足过下修条件。
123128.SZ 首华转债 今日是否满足条件：1, 最近15日满足条件计数：15/15, 最近30日满足条件计数：30/30。
118019.SH 金盘转债 今日是否满足条件：1, 最近15日满足条件计数：5/15, 最近30日满足条件计数：5/30。
128134.SZ 鸿路转债 今日是否满足条件：0, 最近15日满足条件计数：5/15, 最近30日满足条件计数：5/30。
127049.SZ 希望转2 今日是否满足条件：0, 最近15日满足条件计数：5/15, 最近30日满足条件计数：5/30。
128119.SZ 龙大转债 今日是否满足条件：0, 最近15日满足条件计数：1/15, 最近30日满足条件计数：5/30。
123108.SZ 乐普转2 今日是否满足条件：0, 最近15日满足条件计数：2/15, 最近30日满足条件计数：5/30。
127073.SZ 天赐转债 今日是否满足条件：1, 最近15日满足条件计数：4/15, 最近30日满足条件计数：4/30。
111004.SH 明新转债 今日是否满足条件：1, 最近15日满足条件计数：3/15, 最近30日满足条件计数：4/30。
127085.SZ 韵达转债 今日是否满足条件：1, 最近15日满足条件计数：4/15, 最近30日满足条件计数：4/30。
113632.SH 鹤21转债 今日是否满足条件：1, 最近15日满足条件计数：3/15, 最近30日满足条件计数：3/30。
123129.SZ 锦鸡转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：3/30。
113546.SH 迪贝转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：3/30。
123151.SZ 康医转债 今日是否满足条件：1, 最近15日满足条件计数：2/15, 最近30日满足条件计数：3/30。
127081.SZ 中旗转债 今日是否满足条件：0, 最近15日满足条件计数：2/15, 最近30日满足条件计数：3/30。
113549.SH 白电转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：2/30。
123002.SZ 国祯转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：2/30。
113524.SH 奇精转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：2/30。
118012.SH 微芯转债 今日是否满足条件：1, 最近15日满足条件计数：2/15, 最近30日满足条件计数：2/30。
123138.SZ 丝路转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：2/30。
113666.SH 爱玛转债 今日是否满足条件：0, 最近15日满足条件计数：2/15, 最近30日满足条件计数：2/30。
123193.SZ 海能转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：2/30。
118034.SH 晶能转债 今日是否满足条件：0, 最近15日满足条件计数：2/15, 最近30日满足条件计数：2/30。
123091.SZ 长海转债 今日是否满足条件：0, 最近15日满足条件计数：1/15, 最近30日满足条件计数：1/30。
113530.SH 大丰转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
113597.SH 佳力转债 今日是否满足条件：0, 最近15日满足条件计数：1/15, 最近30日满足条件计数：1/30。
113637.SH 华翔转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
127071.SZ 天箭转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
111011.SH 冠盛转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
128056.SZ 今飞转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
118007.SH 山石转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
127080.SZ 声迅转债 今日是否满足条件：0, 最近15日满足条件计数：0/15, 最近30日满足条件计数：1/30。
